instance,n,seed,init,tenure,max_no_improve,kick,time_limit,init_cost,best_cost,iterations,best_iter,perturbations,time_to_best,total_s
tsp_n70_2,70,1,nn,8,35,6,10,804.69,656.603,3175290,494,90720,0.00169773,10
tsp_n70_2,70,2,nn,8,35,6,10,795.421,656.603,3210416,984,91724,0.00306195,10
tsp_n70_2,70,3,nn,8,35,6,10,797.626,656.603,3261566,3417,93182,0.010225,10
tsp_n70_2,70,4,nn,8,35,6,10,738.894,656.603,3152624,1786,90068,0.00524508,10
tsp_n70_2,70,5,nn,8,35,6,10,805.44,656.603,3197554,2707,91355,0.00854927,10
tsp_n70_3,70,1,nn,8,35,6,10,936.173,671.127,3170812,2059,90587,0.0062573,10
tsp_n70_3,70,2,nn,8,35,6,10,888.635,671.127,3187408,2981,91065,0.0091524,10
tsp_n70_3,70,3,nn,8,35,6,10,921.388,671.127,3297870,17912,94221,0.0524564,10
tsp_n70_3,70,4,nn,8,35,6,10,932.912,671.127,3102987,4062,88649,0.0127694,10
tsp_n70_3,70,5,nn,8,35,6,10,925.007,671.127,3203284,2215,91516,0.00681856,10
tsp_n70_4,70,1,nn,8,35,6,10,780.814,636.85,3210710,1394,91728,0.00425416,10
tsp_n70_4,70,2,nn,8,35,6,10,871.535,636.85,3171603,590,90614,0.00177428,10
tsp_n70_4,70,3,nn,8,35,6,10,854.217,636.85,3287462,283,93926,0.00101613,10
tsp_n70_4,70,4,nn,8,35,6,10,814.413,636.85,3167842,1094,90506,0.00352916,10
tsp_n70_4,70,5,nn,8,35,6,10,757.513,636.85,3169012,1718,90539,0.00526889,10
tsp_n70_5,70,1,nn,8,35,6,10,768.221,660.445,3244592,1704,92700,0.00520315,10
tsp_n70_5,70,2,nn,8,35,6,10,817.834,660.445,3157694,2082,90217,0.00613734,10
tsp_n70_5,70,3,nn,8,35,6,10,880.085,660.445,3243364,13,92667,6.3703e-05,10
tsp_n70_5,70,4,nn,8,35,6,10,804.727,660.445,3153299,21,90093,9.1245e-05,10
tsp_n70_5,70,5,nn,8,35,6,10,795.282,660.445,3174319,335,90693,0.0010597,10
tsp_n80_1,80,1,nn,10,40,6,10,888.131,697.516,2424603,6544,60611,0.0262241,10
tsp_n80_1,80,2,nn,10,40,6,10,881.436,697.516,2534230,1078,63349,0.00428263,10
tsp_n80_1,80,3,nn,10,40,6,10,961.578,697.516,2438631,5021,60960,0.0191685,10
tsp_n80_1,80,4,nn,10,40,6,10,913.982,697.516,2441929,14978,61042,0.0604189,10
tsp_n80_1,80,5,nn,10,40,6,10,930.859,697.516,2432430,2166,60804,0.00867583,10
tsp_n80_2,80,1,nn,10,40,6,10,839.042,706.6,2434292,28718,60851,0.11841,10
tsp_n80_2,80,2,nn,10,40,6,10,875.419,706.6,2474954,10290,61868,0.04003,10
tsp_n80_2,80,3,nn,10,40,6,10,823.946,706.6,2437491,37598,60932,0.154438,10
tsp_n80_2,80,4,nn,10,40,6,10,881.25,706.6,2475949,65561,61891,0.254008,10
tsp_n80_2,80,5,nn,10,40,6,10,842.486,706.6,2458737,58471,61461,0.241569,10
tsp_n80_3,80,1,nn,10,40,6,10,913.035,719.063,2456188,5014,61396,0.0191454,10
tsp_n80_3,80,2,nn,10,40,6,10,915.732,719.063,2457649,2319,61436,0.00972926,10
tsp_n80_3,80,3,nn,10,40,6,10,816.78,719.063,2429379,2926,60730,0.0116733,10
tsp_n80_3,80,4,nn,10,40,6,10,806.436,719.063,2433024,12250,60818,0.0501095,10
tsp_n80_3,80,5,nn,10,40,6,10,918.594,719.063,2439661,1863,60987,0.00715831,10
