config,instance,n,seed,init,tenure,max_no_improve,kick,time_limit,init_cost,best_cost,iterations,best_iter,perturbations,time_to_best,total_s
wait0.5,calib_n30_1,30,5,nn,5,15,6,1000,539.717,426.328,50000,7,3332,3.1992e-05,0.0879335
wait0.5,calib_n30_2,30,1,nn,5,15,6,1000,518.314,447.548,50000,260,3331,0.000415942,0.0821035
wait0.5,calib_n30_2,30,2,nn,5,15,6,1000,533.841,447.548,50000,171,3329,0.000286723,0.091952
wait0.5,calib_n30_2,30,3,nn,5,15,6,1000,583.304,447.548,50000,290,3331,0.000527477,0.102269
wait0.5,calib_n30_2,30,4,nn,5,15,6,1000,590.283,447.548,50000,9,3332,5.3103e-05,0.11595
wait0.5,calib_n30_2,30,5,nn,5,15,6,1000,608.714,447.548,50000,15,3332,4.4065e-05,0.0928824
wait0.5,calib_n50_1,50,1,nn,6,25,6,1000,653.039,550.734,50000,274,1997,0.00118029,0.271186
wait0.5,calib_n50_1,50,2,nn,6,25,6,1000,639.744,550.734,50000,102,1998,0.000630005,0.247878
wait0.5,calib_n50_1,50,3,nn,6,25,6,1000,659.377,550.734,50000,401,1996,0.00172482,0.252585
wait0.5,calib_n50_1,50,4,nn,6,25,6,1000,687.78,550.734,50000,9,1999,7.5746e-05,0.23957
wait0.5,calib_n50_1,50,5,nn,6,25,6,1000,699.886,550.734,50000,15,1999,9.2418e-05,0.248346
wait0.5,calib_n50_2,50,1,nn,6,25,6,1000,685.943,590.914,50000,461,1995,0.00222177,0.247892
wait0.5,calib_n50_2,50,2,nn,6,25,6,1000,749.45,590.914,50000,1161,1992,0.00588851,0.25266
wait0.5,calib_n50_2,50,3,nn,6,25,6,1000,765.949,590.914,50000,2248,1998,0.0122431,0.244178
wait0.5,calib_n50_2,50,4,nn,6,25,6,1000,730.848,590.914,50000,3762,1994,0.0200871,0.2563
wait0.5,calib_n50_2,50,5,nn,6,25,6,1000,777.571,590.914,50000,1285,1994,0.00585713,0.247245
wait0.5,calib_n70_1,70,1,nn,8,35,6,1000,773.892,638.962,50000,654,1425,0.00864584,0.522716
wait0.5,calib_n70_1,70,2,nn,8,35,6,1000,737.485,638.962,50000,1727,1425,0.0158531,0.440259
wait0.5,calib_n70_1,70,3,nn,8,35,6,1000,832.582,638.962,50000,513,1424,0.005653,0.449427
wait0.5,calib_n70_1,70,4,nn,8,35,6,1000,808.48,638.962,50000,1041,1425,0.0073092,0.467302
wait0.5,calib_n70_1,70,5,nn,8,35,6,1000,741.91,638.962,50000,556,1425,0.00620092,0.461888
wait0.5,calib_n70_2,70,1,nn,8,35,6,1000,779.269,656.37,50000,2690,1422,0.0253103,0.458395
wait0.5,calib_n70_2,70,2,nn,8,35,6,1000,766.936,656.37,50000,979,1425,0.010081,0.463998
wait0.5,calib_n70_2,70,3,nn,8,35,6,1000,781.374,656.37,50000,5088,1422,0.0517698,0.475375
wait0.5,calib_n70_2,70,4,nn,8,35,6,1000,737.249,656.37,50000,523,1425,0.00487706,0.469247
wait0.5,calib_n70_2,70,5,nn,8,35,6,1000,786.138,656.37,50000,4435,1425,0.0445601,0.451427
wait2,calib_n100_1,100,1,nn,12,200,6,1000,985.693,745.934,50000,47882,248,0.871709,0.908604
wait2,calib_n100_1,100,2,nn,12,200,6,1000,960.815,743.104,50000,8970,249,0.15988,0.930223
wait2,calib_n100_1,100,3,nn,12,200,6,1000,900.617,743.104,50000,42266,247,0.782897,0.932325
wait2,calib_n100_1,100,4,nn,12,200,6,1000,883.571,743.104,50000,44035,248,0.766455,0.868554
wait2,calib_n100_1,100,5,nn,12,200,6,1000,918.387,744.971,50000,41344,249,0.808953,0.970793
wait2,calib_n100_2,100,1,nn,12,200,6,1000,955.549,763.385,50000,41082,248,0.785246,0.947817
wait2,calib_n100_2,100,2,nn,12,200,6,1000,909.951,767.092,50000,26348,249,0.482314,0.919126
wait2,calib_n100_2,100,3,nn,12,200,6,1000,963.367,768.393,50000,1630,248,0.0332118,0.93534
wait2,calib_n100_2,100,4,nn,12,200,6,1000,950.285,767.092,50000,36394,249,0.670701,0.926066
wait2,calib_n100_2,100,5,nn,12,200,6,1000,954.385,767.392,50000,10963,249,0.20433,0.940101
wait2,calib_n30_1,30,1,nn,5,60,6,1000,479.789,426.328,50000,13,833,4.3163e-05,0.0853917
wait2,calib_n30_1,30,2,nn,5,60,6,1000,534.036,426.328,50000,7,833,3.5048e-05,0.0932825
wait2,calib_n30_1,30,3,nn,5,60,6,1000,568.188,426.328,50000,11,833,4.3484e-05,0.0985143
wait2,calib_n30_1,30,4,nn,5,60,6,1000,533.271,426.328,50000,171,832,0.0003164,0.0901548
wait2,calib_n30_1,30,5,nn,5,60,6,1000,539.717,426.328,50000,7,833,3.2102e-05,0.0924005
wait2,calib_n30_2,30,1,nn,5,60,6,1000,518.314,447.548,50000,86,832,0.000165559,0.0947924
wait2,calib_n30_2,30,2,nn,5,60,6,1000,533.841,447.548,50000,531,832,0.000942979,0.103886
wait2,calib_n30_2,30,3,nn,5,60,6,1000,583.304,447.548,50000,1055,832,0.00177158,0.0921815
wait2,calib_n30_2,30,4,nn,5,60,6,1000,590.283,447.548,50000,9,833,4.3745e-05,0.090395
wait2,calib_n30_2,30,5,nn,5,60,6,1000,608.714,447.548,50000,15,833,4.9195e-05,0.087997
wait2,calib_n50_1,50,1,nn,6,100,6,1000,653.039,550.734,50000,874,499,0.003912,0.228729
wait2,calib_n50_1,50,2,nn,6,100,6,1000,639.744,550.734,50000,327,499,0.00171306,0.23556
wait2,calib_n50_1,50,3,nn,6,100,6,1000,659.377,550.734,50000,1376,499,0.00645021,0.231644
wait2,calib_n50_1,50,4,nn,6,100,6,1000,687.78,550.734,50000,9,499,8.5625e-05,0.239291
wait2,calib_n50_1,50,5,nn,6,100,6,1000,699.886,550.734,50000,15,499,0.000108599,0.239154
wait2,calib_n50_2,50,1,nn,6,100,6,1000,685.943,590.914,50000,1511,498,0.00681805,0.241904
wait2,calib_n50_2,50,2,nn,6,100,6,1000,749.45,590.914,50000,4086,498,0.0205054,0.245685
